,HUC_8,P_emitted,P_emittedManure,P_emittedFert,P_uptake,P_balance,P_TES,P-PO43_Recovery_Scenario1_kg,P-PO43_Recovery_Scenario2_kg,P-PO43_Recovery_Scenario3_kg,P-PO43_Recovery_Scenario4_kg,Pnorm_Recovery_Scenario1_kg,Pnorm_Recovery_Scenario2_kg,Pnorm_Recovery_Scenario3_kg,Pnorm_Recovery_Scenario4_kg,P_EmissionsAvoided_Scenario1_kg,P_EmissionsAvoided_Scenario2_kg,P_EmissionsAvoided_Scenario3_kg,P_EmissionsAvoided_Scenario4_kg,PEmitted_scenario1,PEmitted_scenario2,PEmitted_scenario3,PEmitted_scenario4,P_TES_Scenario1,P_TES_Scenario2,P_TES_Scenario3,P_TES_Scenario4,P_TESfrac_Scenario1,P_TESfrac_Scenario2,P_TESfrac_Scenario3,P_TESfrac_Scenario4
0,01010001,165662.01488492842,11238.857425656997,154423.15745927143,675635.9040592754,-509973.88917434704,3.0783996532251723,9694.208853833157,12916.983225801723,15492.106382907108,16594.88925578986,9694.208853833157,12916.983225801723,15492.106382907108,16594.88925578986,5.851799436682522,7.797190704685122,9.35163464821322,10.01731704598483,155967.80603109527,152745.0316591267,150169.9085020213,149067.12562913855,3.3318933647407594,3.4232921799188705,3.4991430759923596,3.5324272619315003,8.234593947215634,11.20363063750874,13.667602331178266,14.748819511808778
1,01010002,26016.503217622627,1916.9845306702684,24099.518686952357,2562009.2816784023,-2535992.77846078,97.47631175672336,5574.2159213317145,7427.3264212136855,8908.034410711049,9542.139776139024,919.1153285828892,1224.6690225977616,1468.8184114102855,1573.3740959274844,3.532816539158553,4.707277578211262,5.645718024147694,6.047600181955807,25097.38788903974,24791.834195024865,24547.684806212343,24443.129121695143,101.08270649541403,102.34085253734624,103.36867272428186,103.81511057454684,3.699765280093211,4.990485065503462,6.044915796839309,6.5029120445627235
2,01010003,195698.38734554718,11975.555140691717,183722.83220485545,1023203.1863701721,-827504.7990246249,4.228470199723663,4046.878823603802,5392.236403146321,6467.229889442105,6927.590164591071,4046.878823603802,5392.236403146321,6467.229889442105,6927.590164591071,2.0679162861256364,2.755381112888365,3.3046924796691517,3.539932167329992,191651.50852194338,190306.15094240085,189231.15745610508,188770.7971809561,4.33887363716221,4.3766164745765925,4.407160216770956,4.420346799665879,2.6109546058941495,3.503543074812517,4.225878594555795,4.5377309258264376
3,01010004,695624.8928695879,43381.75358146285,652243.139288125,19131048.38439795,-18435423.49152836,26.50196058320837,10895.78532763878,14518.015696907212,17412.319867067254,18651.790320726417,10895.78532763878,14518.015696907212,17412.319867067254,18651.790320726417,1.5663305668506984,2.0870466030934542,2.503119144462765,2.68130000980617,684729.1075419491,681106.8771726807,678212.5730025206,676973.1025488614,26.939586872646434,27.088173861659104,27.208041469509663,27.25968758931178,1.6512977900787624,2.2119619286663634,2.664259061454745,2.859135661772539
4,01010005,347509.6858518456,21265.48645264411,326244.1993992015,2602242.0410392415,-2254732.355187396,6.488257585282558,2875.070740120503,3830.868623017707,4594.588628727401,4921.647682058769,2875.070740120503,3830.868623017707,4594.588628727401,4921.647682058769,0.8273354260825516,1.1023775103209434,1.3221469259093457,1.4162620158325667,344634.6151117251,343678.8172288279,342915.0972231182,342588.03816978686,6.55072742822318,6.57172659642453,6.58858989327638,6.595834504150343,0.96281385440558,1.2864626603497709,1.5463675212495749,1.658024784832884
5,01020001,7020.6752825576905,4563.588743090205,2457.086539467487,10934182.285603134,-10927161.610320576,1556.4260089721338,21913.7598010559,29198.841497268077,35019.907576387166,37512.74833868574,2188.053320209081,2915.4568939501505,3496.6808864189957,3745.586987253281,31.16585274418154,41.52673035873588,49.80547804434456,53.35080795659207,4832.6219623486095,4105.21838860754,3523.994396138695,3275.0882953044093,2261.577617449146,2662.483705506817,3101.780838012659,3337.5916041652354,45.30582272540508,71.06394330078855,99.28867932893772,114.4394648332423
6,01020002,3990.453241052788,2746.150844832869,1244.3023962199193,5805836.650601422,-5801846.19736037,1453.9316330466986,11445.412865870023,15250.363204456986,18290.66779846002,19592.66216147218,1316.666512277082,1754.3834168925605,2104.136395920781,2253.9162594382983,32.995412619587796,43.964515079237145,52.72925827757986,56.48271319785356,2673.7867287757063,2236.0698241602277,1886.316845132007,1736.5369816144898,2170.391079220384,2595.446939120896,3076.869269727654,3342.3417842928006,49.27738209205561,78.5123096663193,111.62406813311479,129.8830088240778
7,01020003,78056.5467677608,11349.889389623313,66706.65737813749,3525359.6074654693,-3447303.0606977083,44.164175888466616,15501.336482930883,20654.651281662245,24772.351977526054,26535.73552309609,5441.805684303362,7250.897293637858,8696.43246266574,9315.475253747436,6.9716198187631795,9.289287822597668,11.141195482987435,11.934265144297862,72614.74108345744,70805.64947412294,69360.11430509505,68741.07151401335,47.54881467405784,48.78924187050736,49.826900197402125,50.28461820306074,7.6637652973280375,10.472438099424767,12.82198568187099,13.858386784009848
8,01020004,24826.991627983443,13314.321426811477,11512.670201171963,3671779.77959272,-3646952.787964737,146.8946718399066,14784.951547538429,19700.109004597267,23627.51264122234,25309.402477604377,6383.6701430153225,8505.878241294115,10201.605768982052,10927.792114458476,25.712620516696216,34.26060784467666,41.0907850691158,44.015772342474826,18443.32148496812,16321.113386689329,14625.385859001392,13899.199513524967,198.08451862021352,223.97115806984326,250.05524154994333,263.17203206701237,34.84799423909415,52.470579949923966,70.22757763635323,79.1569624484616
9,01020005,128372.46103782536,102399.57002986084,25972.891007964525,2019384.6826902118,-1891012.2216523862,14.730668917340404,24294.697054268025,32371.305287262334,38824.832121952735,41588.52085790649,24294.697054268025,32371.305287262334,38824.832121952735,41588.52085790649,18.92516265393519,25.216705378674657,30.243894841677044,32.39676214172781,104077.76398355734,96001.15575056302,89547.62891587263,86783.94017991886,18.402652453306388,20.035003869506735,21.55095648135323,22.26910576431147,24.927473128144637,36.008785357481365,46.29991755489279,51.175115599109645
10,01030001,6642.045677629571,5444.373328458076,1197.6723491714968,8214910.895585095,-8208268.849907465,1235.8043362382973,41869.5484577445,55788.79754449802,66910.82363623541,71673.77248855749,2610.353344355901,3478.147713841374,4171.549459835371,4468.495090338231,39.30044253004129,52.3656096728721,62.8051907845976,67.2758861835012,4031.6923332736706,3163.8979637881976,2470.4962177942007,2173.55058729134,2036.583777856064,2595.452537220644,3324.206829468387,3778.4891656156237,64.79823853469262,110.02131657192768,168.99135502202896,205.7514086021969
11,01030002,3832.955466536551,3373.120821419285,459.83464511726606,9819400.652281862,-9815567.696815323,2560.835309074083,23219.584653580037,30938.779017720797,37106.718149356086,39748.10546187457,1617.2728587666613,2154.9243164874874,2584.5289240178186,2768.5048251271487,42.193885968313246,56.22095887366706,67.42914042654382,72.22898489944531,2215.6826077698897,1678.0311500490634,1248.4265425187323,1064.4506414094021,4430.772230303871,5850.7391956607935,7864.4212465484525,9223.852961975143,73.02058490851948,128.4699517742996,207.10374926031375,260.18922924450754
12,01030003,1142362.4313673363,1111649.0175730165,30713.413794320044,21615483.003908005,-20473120.572540667,17.921738329608427,90956.67172767884,121194.60398427703,145355.89813326419,155702.8445698516,90956.67172767884,121194.60398427703,145355.89813326419,155702.8445698516,7.962155374700952,10.609120245596197,12.724149021539713,13.629898909007803,1051405.7596396576,1021167.8273830593,997006.5332340722,986659.5867974847,19.558649984299265,20.16741482083496,20.680382508419562,20.90774132552432,9.133665633241076,12.530461330955045,15.392726576381213,16.661346912886962
13,01040001,13032.844752125357,10420.12450641495,2612.720245710405,8537883.123509133,-8524850.278757008,654.1051045180909,22945.965271577432,30574.196717001705,36669.45290798123,39279.71413556479,4996.021619558671,6656.91532218899,7984.034549751086,8552.36634017076,38.3340837290641,51.07799140401331,61.26087359744751,65.62163904220579,8036.823132566686,6375.929429936366,5048.81020237427,4480.478411954597,1061.345529157169,1338.080555600557,1690.0683470521587,1904.5739897616213,62.25917239082101,104.56659737984802,158.3787124390826,191.17247008258832
14,01040002,230965.27773564364,200591.6976531924,30373.580082451266,4056802.8809845713,-3825837.603248928,16.564557412079374,31644.931564682865,42165.07570300868,50571.083589357084,54170.91200952573,31644.931564682865,42165.07570300868,50571.083589357084,54170.91200952573,13.701164034233216,18.256023639739322,21.895535157989993,23.454136717263722,199320.34617096078,188800.20203263496,180394.19414628655,176794.36572611792,19.353179988484346,20.48728040176215,21.488544601911077,21.946448911551812,16.83487525221425,23.681423488092758,29.726041374585616,32.49040324824979
15,01050001,3643.4609216465446,468.09513713958916,3175.365784506956,2498129.4826678517,-2494486.021746205,684.6473930668378,3166.941241328995,4219.76950446774,5061.020590626641,5421.281919118932,224.43238789708758,299.04342205780165,358.6605654464266,384.1912918032477,6.159868123291483,8.207674749058613,9.843952581336909,10.544679909167924,3419.028533749457,3344.417499588743,3284.800356200118,3259.269629843297,729.6547628978964,745.9550326701263,759.511815566687,765.4691070029576,6.573802849003877,8.954629817352338,10.934741482692047,11.804866965765198
16,01050002,38491.948418002015,24970.671509069376,13521.276908932641,3171378.758153885,-3132886.809735883,81.39070477062903,13088.758647339173,17440.028211007335,20916.86329871016,22405.79953695454,13088.758647339173,17440.028211007335,20916.86329871016,22405.79953695454,34.00388700827051,45.30824997897726,54.340879478389056,58.20905529031556,25403.189770662844,21051.92020699468,17575.085119291856,16086.148881047477,123.84175360593446,149.6455813517746,179.44741955034513,196.14965847980983,52.157121571730734,83.86077596145391,120.47655202895015,140.9976164140468
17,01050003,88883.01301012114,85403.65556872709,3479.3574413940514,2585382.2205313165,-2496499.2075211955,28.08747276869336,2151.489791627862,2866.7380668152286,3438.2494988704657,3682.996247074796,2151.489791627862,2866.7380668152286,3438.2494988704657,3682.996247074796,2.4205860251191877,3.2252935287969957,3.868286394025539,4.1436446879398785,86731.52321849328,86016.2749433059,85444.76351125067,85200.01676304634,28.809025883452367,29.056895886683826,29.257936405791497,29.34485577299405,2.5689499397156856,3.4514430186506386,4.167208800653474,4.476668351957187
18,01050004,16.427186286283668,4.021405227292227,12.405781058991446,21089645.64034697,-21089629.21316068,1283824.8039331024,,,,,,,,,,,,,,,,,,,,,,,,
19,01060001,27354.686035755672,16414.10000292946,10940.586032826212,5296473.026042132,-5269118.340006377,192.62214646218357,15101.944284665598,20122.48383991491,24134.09190727985,25852.041845791195,15101.944284665598,20122.48383991491,24134.09190727985,25852.041845791195,55.20788747100094,73.56137743132032,88.22653594244825,94.50681251468083,12252.741751090074,7232.202195840764,3220.594128475823,1502.6441899644778,431.26839622004826,731.3458170304102,1643.563957690856,3523.7685788924787,123.89346403878683,279.6789883524589,753.2580432092359,1729.3683481428136
20,01060002,43317.495277444905,29484.92185005192,13832.573427392983,8311500.529993174,-8268183.034715729,190.87398709825473,14876.218871143266,19821.717534580748,23773.364985429907,25465.63710703427,14876.218871143266,19821.717534580748,23773.364985429907,25465.63710703427,34.342287742775376,45.75914975606119,54.8816704039869,58.78834162485391,28441.276406301637,23495.777742864157,19544.130292014997,17851.858170410636,291.2337384320636,352.74443106133987,424.2683749958903,464.58181510591675,52.579061641410284,84.80487384577991,122.27668706762695,143.397134501501
21,01060003,67315.28301757286,38483.42277844323,28831.860239129623,20047976.8637602,-19980661.580742627,296.82206900217017,22705.448170496842,30253.72132731088,36285.08770881641,38867.988463389105,22705.448170496842,30253.72132731088,36285.08770881641,38867.988463389105,33.730004766628575,44.943317432704035,53.903194166685864,57.74021399158716,44609.83484707602,37061.56169026198,31030.195308756447,28447.294554183754,448.40710792777696,539.9371853056007,645.0796222607995,703.7410721457072,51.06932898729255,81.90601093803878,117.32872640817118,137.09189633758734
22,01070001,41158.66869829896,35480.694099350694,5677.974598948273,324336632.5351795,-324295473.8664812,7879.153629667422,15402.478408712244,20522.928507202698,24614.369018246307,26366.506778550287,15402.478408712244,20522.928507202698,24614.369018246307,26366.506778550287,37.422197791710424,49.86295513501603,59.80360832045957,64.06064047363121,25756.190289586717,20635.740191096265,16544.299680052656,14792.161919748676,12591.570131239849,15716.22795168363,19603.131864598043,21925.24947555266,59.808663760898604,99.46594127200702,148.79743162750702,178.26909470323557
23,01070002,11561.174841025835,7368.81435010443,4192.360490921407,48638149.53933953,-48626588.364498496,4206.0248230087145,7318.442229848481,9751.409005859523,11695.44490854889,12527.968002382131,7318.442229848481,9751.409005859523,11695.44490854889,12527.968002382131,63.30189042620782,84.34617709660267,101.16138774276284,108.36241277076397,4242.732611177355,1809.7658351663122,-134.27006752305533,-966.793161356296,11462.873403476748,26874.38276733455,-362242.19371197856,-50309.74387972085,172.53461132159842,538.9496947407547,-8712.459720407789,-1296.1352107221412
24,01070003,35296.79814958545,24197.931476621845,11098.8666729636,36326783.26165046,-36291486.46350087,1028.180695305563,11508.699234524032,15334.688699672875,18391.804381192927,19700.998003524845,11508.699234524032,15334.688699672875,18391.804381192927,19700.998003524845,32.60550485557059,43.44498510795653,52.10615507743705,55.815255310222035,23788.098915061415,19962.109449912572,16904.99376839252,15595.800146060603,1526.0990503007445,1818.786799225748,2147.878831861571,2328.267041218553,48.42712543316194,76.89369266802139,108.90091028437831,126.44531762256244
25,01070004,65924.14137174794,30488.665150028686,35435.47622171926,13354442.386079775,-13288518.244708028,201.57286796916668,8089.175280059316,10778.367062081705,12927.136796636023,13847.336071182155,8089.175280059316,10778.367062081705,12927.136796636023,13847.336071182155,12.27042948416157,16.349651034970957,19.609109087579256,21.00495476019425,57834.96609168863,55145.77430966624,52997.00457511192,52076.805300565786,229.90602949275217,241.1661959280702,250.98485259959756,255.43743522674743,14.05603929191474,19.64219111322059,24.513212084668616,26.72213170366761
26,01070005,28340.316075980565,8152.400890019054,20187.91518596152,17543661.008752424,-17515320.692676444,618.0354744709888,6091.168107813933,8116.1358766332505,9734.164566210255,10427.076795194345,6091.168107813933,8116.1358766332505,9734.164566210255,10427.076795194345,21.492943450184086,28.638127587828727,34.34741002927737,36.79238003993776,22249.14796816663,20224.180199347313,18606.15150977031,17913.23928078622,787.5093412949266,866.4596861690643,941.8957406662008,978.3684287782497,27.421381753045804,40.19578518704217,52.40156586034518,58.30295657635026
27,01070006,87418.56007221452,39811.67318832118,47606.88688389334,16771291.532863295,-16683872.97279108,190.85046652574584,27229.439761048066,36281.68341992787,43514.781235429895,46612.31712097079,27229.439761048066,36281.68341992787,43514.781235429895,46612.31712097079,31.148350806229747,41.50341001951574,49.77750857424705,53.32084752078436,60189.12031116645,51136.87665228665,43903.77883678462,40806.24295124373,277.64324060825055,326.96863302587616,381.00109369199737,409.9981787076559,45.47684669704295,71.321893510681,99.63330487358284,114.8269198243468
28,01080101,61079.017274168786,49067.80456938012,12011.212704788672,8538975.566127833,-8477896.548853664,138.80211121928266,73789.66306867845,98320.53904211093,117921.67132512583,126315.75256010477,23525.9964794072,31347.055389116667,37596.38828894857,40272.632052227076,38.5173133578832,51.32213448753996,61.55368892100468,65.9352979951414,37553.020794761585,29731.96188505212,23482.628985220217,20806.38522194171,226.38451888586727,286.19852390302043,362.62945441509964,409.4016855903888,63.09875757452995,106.19176566477266,161.25643999910747,194.95350034237367
