site_id,state,latitude,longitude,colldate,landcover1,landcover2,the_geom,fips,huc,quad,
3246,MT,48.8805,-111.8966,2009-07-17,Barren,Transitional,0101000020E6100000FE65F7E461F95BC062105839B4704840,f30101,h10030203,q49112NWA1
10414,MT,48.9428,-111.4018,2009-07-17,"Forested Upland","Evergreen Forest",0101000020E610000019E25817B7D95BC09B559FABAD784840,f30101,h10050002,q49112NWE1
11694,MT,48.8426,-112.3294,2009-07-16,Planted/Cultivated,"Small Grains",0101000020E61000005BD3BCE314155CC007CE1951DA6B4840,f30035,h10030202,q49114NEF2
3502,MT,48.7195,-113.4757,2009-07-11,Shrubland,Shrubland,0101000020E610000043AD69DE715E5CC06ABC7493185C4840,f30035,h10010002,q49114NWE3
6318,MT,48.9723,-110.9086,2009-07-17,"Herbaceous Upland",Grasslands/Herbaceous,0101000020E610000052499D8026BA5BC04DF38E53747C4840,f30051,h10050006,q49112NEA1
9838,MT,48.9175,-109.4041,2009-07-18,Barren,Transitional,0101000020E610000012143FC6DC595BC03D0AD7A370754840,f30005,h10050008,q49110NWE1
7342,MT,48.6672,-112.0643,2009-07-17,Planted/Cultivated,Fallow,0101000020E61000008048BF7D1D045CC013F241CF66554840,f30101,h10030203,q49114NEH3
5742,MT,48.9402,-109.1403,2009-07-18,Shrubland,Shrubland,0101000020E61000003EE8D9ACFA485BC07FD93D7958784840,f30005,h10050008,q49110NWG1
11438,MT,48.6633,-111.6868,2009-07-17,"Herbaceous Upland",Grasslands/Herbaceous,0101000020E610000024B9FC87F4EB5BC0E9B7AF03E7544840,f30101,h10030204,q49112NWC3
174,MT,48.9824,-108.0806,2009-07-22,"Herbaceous Upland",Grasslands/Herbaceous,0101000020E6100000B003E78C28055BC092CB7F48BF7D4840,f30071,h10050011,q49110NEH1
3438,MT,48.6462,-110.331,2009-07-18,"Herbaceous Upland",Grasslands/Herbaceous,0101000020E610000077BE9F1A2F955BC06D567DAEB6524840,f30041,h10050006,q49112NEF3
7534,MT,48.7433,-110.1722,2009-07-18,"Herbaceous Upland",Grasslands/Herbaceous,0101000020E6100000C2172653058B5BC0F38E5374245F4840,f30041,h10050002,q49112NEG3
9342,MT,48.9114,-105.883,2009-07-23,"Herbaceous Upland",Grasslands/Herbaceous,0101000020E61000008D976E1283785AC086C954C1A8744840,f30019,h10060003,q49106NWA1
7022,MT,48.7761,-107.9366,2009-07-22,Planted/Cultivated,"Small Grains",0101000020E6100000C05B2041F1FB5AC07A36AB3E57634840,f30071,h10050004,q49108NWA2
8318,MT,48.9121,-105.3852,2009-07-23,Planted/Cultivated,"Small Grains",0101000020E6100000D49AE61DA7585AC03F575BB1BF744840,f30019,h10060003,q49106NWE1
12142,MT,48.7203,-108.2036,2009-07-22,Shrubland,Shrubland,0101000020E6100000CC5D4BC8070D5BC087A757CA325C4840,f30071,h10050010,q49110NEG3
1646,MT,48.5828,-109.7794,2009-07-18,"Herbaceous Upland",Grasslands/Herbaceous,0101000020E610000027A089B0E1715BC0ED0DBE30994A4840,f30041,h10050004,q49110NWB4
7598,MT,48.3078,-112.4451,2009-07-15,"Herbaceous Upland",Grasslands/Herbaceous,0101000020E6100000C6DCB5847C1C5CC0BADA8AFD65274840,f30073,h10030201,q49114SEE2
3198,MT,48.7525,-105.9785,2009-07-23,"Herbaceous Upland",Grasslands/Herbaceous,0101000020E6100000B4C876BE9F7E5AC0B81E85EB51604840,f30019,h10060004,q49106NWA2
7294,MT,48.7817,-105.5833,2009-07-23,"Herbaceous Upland",Grasslands/Herbaceous,0101000020E61000006FF085C954655AC040A4DFBE0E644840,f30019,h10060003,q49106NWD2
11118,MT,48.7457,-107.358,2009-07-22,"Herbaceous Upland",Grasslands/Herbaceous,0101000020E6100000F4FDD478E9D65AC04850FC18735F4840,f30071,h10050013,q49108NWF3
5246,MT,48.7929,-104.6358,2009-07-23,Planted/Cultivated,Pasture/Hay,0101000020E6100000FFB27BF2B0285AC0CC7F48BF7D654840,f30091,h10060006,q49106NEC2
4718,MT,48.6068,-108.9883,2009-07-18,"Herbaceous Upland",Grasslands/Herbaceous,0101000020E6100000C1A8A44E403F5BC03D9B559FAB4D4840,f30005,h10050004,q49110NEA4
6974,MT,48.817,-104.4909,2009-07-23,Planted/Cultivated,"Urban/Recreational Grasses",0101000020E6100000CF66D5E76A1F5AC07F6ABC7493684840,f30091,h10060006,q49106NEE2
